event_id,user_email,session_id,event_type,event_timestamp,page_url,user_agent,metadata
1,gustavo.cardoso@exemplo.com,e8bb52fd-4ccc-432d-8817-cec02ca4de67,logout,2024-03-23 00:21:17,/search,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X),"{""page"": ""/checkout"", ""duration"": 11, ""referrer"": ""instagram.com""}"
2,renata.lima@exemplo.com,e8c7d9eb-1f16-43b7-ba2c-76592c695b7a,logout,2024-04-12 22:12:23,/product/P001,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),"{""page"": ""/search"", ""duration"": 379, ""referrer"": ""facebook.com""}"
3,natalia.pereira@exemplo.com,ca78a8d8-f69a-4c10-9ee0-60964e4319b3,click,2024-03-11 19:34:37,/profile,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),"{""page"": ""/help"", ""duration"": 126, ""referrer"": ""facebook.com""}"
4,tatiana.mendes@exemplo.com,874cb88d-740d-4af6-b732-f25fbeda2574,click,2023-07-06 00:19:55,/help,Mozilla/5.0 (Linux; Android 10; SM-G973F),"{""page"": ""/product/P001"", ""duration"": 100, ""referrer"": ""google.com""}"
5,bruno.lima@exemplo.com,3576cd0a-d3cf-4396-ae8c-98cb3958fd44,click,2023-11-11 21:36:38,/search,Mozilla/5.0 (Linux; Android 10; SM-G973F),"{""page"": ""/profile"", ""duration"": 430, ""referrer"": ""instagram.com""}"
6,quintino.moreira@exemplo.com,900302c4-a8f7-4deb-a93a-eaae8826c049,view,2023-06-14 10:37:39,/checkout,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X),"{""page"": ""/home"", ""duration"": 542, ""referrer"": ""instagram.com""}"
7,eduardo.cardoso@exemplo.com,27c72e22-a1cd-430b-b473-7af6718153ac,view,2024-04-09 12:19:52,/help,Mozilla/5.0 (Linux; Android 10; SM-G973F),"{""page"": ""/search"", ""duration"": 467, ""referrer"": ""facebook.com""}"
8,eduardo.pereira@exemplo.com,2c1cb8de-493f-4f0c-a174-5712466f5b8b,logout,2023-06-17 00:12:59,/product/P001,Mozilla/5.0 (Linux; Android 10; SM-G973F),"{""page"": ""/profile"", ""duration"": 232, ""referrer"": ""google.com""}"
9,carla.barbosa@exemplo.com,c7bae351-2257-4c10-bc22-4db11f486657,view,2023-05-30 09:17:48,/search,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""page"": ""/checkout"", ""duration"": 33, ""referrer"": ""facebook.com""}"
10,fernanda.freitas@exemplo.com,35c76b03-d0ad-4a1d-9fb1-246782019273,purchase,2023-02-26 06:37:24,/checkout,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""page"": ""/profile"", ""duration"": 479, ""referrer"": ""facebook.com""}"
11,victor.costa@exemplo.com,ef522386-94be-4ab7-a7fc-a2df8c5b3f7b,view,2023-10-12 03:55:38,/search,Mozilla/5.0 (Linux; Android 10; SM-G973F),"{""page"": ""/home"", ""duration"": 323, ""referrer"": ""instagram.com""}"
12,renata.dias@exemplo.com,122744a8-e6eb-4f59-aeff-d78005b1f890,signup,2024-02-22 03:20:07,/home,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),"{""page"": ""/home"", ""duration"": 128, ""referrer"": ""instagram.com""}"
13,carla.silva@exemplo.com,160987b8-e75e-4b88-a1a4-f2f194b7d2f0,view,2024-01-29 16:06:39,/help,Mozilla/5.0 (Linux; Android 10; SM-G973F),"{""page"": ""/checkout"", ""duration"": 130, ""referrer"": ""direct""}"
14,ana.rocha@exemplo.com,923d3859-d2f1-4878-978a-8e3ac81f46e9,view,2023-07-23 13:35:21,/home,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""page"": ""/profile"", ""duration"": 66, ""referrer"": ""facebook.com""}"
15,carla.lima@exemplo.com,d54419ec-8496-44da-828e-ea15ef903f4a,logout,2023-08-09 16:49:52,/profile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""page"": ""/help"", ""duration"": 588, ""referrer"": ""instagram.com""}"
16,fernanda.costa@exemplo.com,211784fc-5ab4-43b4-84d7-6e29718eed45,click,2023-05-14 09:58:48,/profile,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),"{""page"": ""/help"", ""duration"": 504, ""referrer"": ""direct""}"
17,ana.silva@exemplo.com,173d3160-c027-4bb9-b601-b838b088f34a,signup,2023-12-19 00:29:30,/search,Mozilla/5.0 (Linux; Android 10; SM-G973F),"{""page"": ""/product/P001"", ""duration"": 478, ""referrer"": ""facebook.com""}"
18,carla.silva@exemplo.com,9d881175-6d51-4409-b0a9-9cd981cf7e50,view,2024-01-03 13:06:43,/profile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""page"": ""/home"", ""duration"": 65, ""referrer"": ""direct""}"
19,otavio.cardoso@exemplo.com,81aec4b8-f7ce-4121-9b41-98da5d02a3bf,purchase,2024-03-29 01:50:50,/profile,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X),"{""page"": ""/product/P001"", ""duration"": 415, ""referrer"": ""facebook.com""}"
20,tatiana.araújo@exemplo.com,ff0410ae-ef10-4b05-8950-1b5ae8b69a20,view,2023-05-05 22:02:58,/search,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X),"{""page"": ""/profile"", ""duration"": 64, ""referrer"": ""facebook.com""}"
21,renata.lima@exemplo.com,13017e6f-f65f-41f9-9cc0-40f2ef76855f,logout,2023-07-28 12:22:44,/home,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""page"": ""/home"", ""duration"": 186, ""referrer"": ""facebook.com""}"
22,ana.barbosa@exemplo.com,e480cbe7-5bf8-4c9b-8ffc-94d24a53924e,view,2023-11-15 22:16:09,/profile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""page"": ""/search"", ""duration"": 249, ""referrer"": ""direct""}"
